#Latest: Time (min),#Latest: Potential (V),#Latest: Temperature (°C)
0,2.905464172,50.33072479
0.033333333,2.905464172,50.24204892
0.066666667,2.900505066,50.16457507
0.1,2.922439575,50.0964147
0.133333333,2.927780151,50.05776661
0.166666667,2.931594849,50.00076414
0.2,2.947235107,49.94014869
0.233333333,2.93598175,49.88876945
0.266666667,2.921676636,49.84476799
0.3,2.932739258,49.82461232
0.333333333,2.916717529,49.8117898
0.366666667,2.927970886,49.7806617
0.4,2.919197083,49.75686961
0.433333333,2.939414978,49.72577223
0.466666667,2.948760986,49.68920931
0.5,2.937698364,49.66180284
0.533333333,2.929496765,49.62893285
0.566666667,2.933120728,49.59060896
0.6,2.935600281,49.56507429
0.633333333,2.951049805,49.51950562
0.666666667,2.956581116,49.49946714
0.7,2.947235107,49.47943582
0.733333333,2.928352356,49.45577167
0.766666667,2.937316895,49.43575593
0.8,2.944374084,49.41574733
0.833333333,2.952194214,49.38483895
0.866666667,2.959632874,49.36848256
0.9,2.952194214,49.35758093
0.933333333,2.936553955,49.33760011
0.966666667,2.939414978,49.33033611
1,2.947616577,49.34123246
1.033333333,2.951812744,49.31036494
1.066666667,2.955818176,49.29403014
1.1,2.946472168,49.26681599
1.133333333,2.934455872,49.23598913
1.166666667,2.936935425,49.20517907
1.2,2.946853638,49.18344089
1.233333333,2.953910828,49.17076414
1.266666667,2.958869934,49.14360921
1.3,2.952194214,49.12370386
1.333333333,2.934455872,49.11104046
1.366666667,2.932739258,49.10380549
1.4,2.943992615,49.08572212
1.433333333,2.951812744,49.069452
1.466666667,2.956581116,49.05860784
1.5,2.95715332,49.04595894
1.533333333,2.943992615,49.02608777
1.566666667,2.935218811,48.99539142
1.6,2.942276001,48.96832013
1.633333333,2.951049805,48.91601872
1.666666667,2.956771851,48.87277098
1.7,2.960777283,48.83675617
1.733333333,2.944755554,48.81515814
1.766666667,2.933692932,48.78277637
1.8,2.941894531,48.7719865
1.833333333,2.948570251,48.76839033
1.866666667,2.953529358,48.76659233
1.9,2.961158752,48.7540079
1.933333333,2.953529358,48.72345719
1.966666667,2.938270569,48.69830997
2,2.936553955,48.66419917
2.033333333,2.94342041,48.64266591
2.066666667,2.951812744,48.63010856
2.1,2.956199646,48.61576065
2.133333333,2.96421051,48.61576065
2.166666667,2.958679199,48.60858803
2.2,2.944755554,48.5924529
2.233333333,2.940177917,48.58886793
2.266666667,2.931022644,48.58707553
2.3,2.939796448,48.5960381
2.333333333,2.949333191,48.5960381
2.366666667,2.953529358,48.57453027
2.4,2.953910828,48.55303045
2.433333333,2.945137024,48.53691083
2.466666667,2.931213379,48.51005477
2.5,2.934837341,48.47068842
2.533333333,2.940177917,48.42956125
2.566666667,2.942657471,48.38131868
2.6,2.953910828,48.33490068
2.633333333,2.958869934,48.28138739
2.666666667,2.945518494,48.24752102
2.7,2.934074402,48.24573913
2.733333333,2.926635742,48.23148591
2.766666667,2.933120728,48.21367428
2.8,2.941131592,48.18340696
2.833333333,2.94342041,48.18874711
2.866666667,2.952194214,48.19230749
2.9,2.95715332,48.18340696
2.933333333,2.949333191,48.17628751
2.966666667,2.936172485,48.16916893
3,2.931213379,48.17628751
3.033333333,2.93598175,48.18874711
3.066666667,2.942657471,48.18340696
3.1,2.946472168,48.15671349
3.133333333,2.951431274,48.12114111
3.166666667,2.956390381,48.09803063
3.2,2.956199646,48.07315259
3.233333333,2.946090698,48.04118201
3.266666667,2.934074402,48.04118201
3.3,2.922439575,48.03230438
3.333333333,2.919197083,47.9879363
