#Latest: Time (min),#Latest: Potential (V),#Latest: Temperature (°C)
0,2.90222168,50.03569415
0.033333333,2.893257141,49.90344436
0.066666667,2.937698364,49.75321019
0.1,2.924919128,49.59790672
0.133333333,2.89440155,49.51221807
0.166666667,2.913856506,49.42120352
0.2,2.952194214,49.32670446
0.233333333,2.947998047,49.26137474
0.266666667,2.927017212,49.17438578
0.3,2.924537659,49.11646728
0.333333333,2.91633606,49.07306718
0.366666667,2.917861938,49.02608777
0.4,2.931022644,49.0098347
0.433333333,2.946853638,48.99539142
0.466666667,2.952957153,48.9990019
0.5,2.956390381,48.99358627
0.533333333,2.95791626,48.96290742
0.566666667,2.956771851,48.93404828
0.6,2.956199646,48.90880849
0.633333333,2.956390381,48.84575775
0.666666667,2.95753479,48.79176947
0.7,2.956771851,48.74322344
0.733333333,2.955436707,48.73603493
0.766666667,2.955436707,48.75580551
0.8,2.9504776,48.7540079
0.833333333,2.948951721,48.72525384
0.866666667,2.939796448,48.69830997
0.9,2.931213379,48.66958374
0.933333333,2.927398682,48.64266591
0.966666667,2.924537659,48.63548995
1,2.927398682,48.65343153
1.033333333,2.933120728,48.67317373
1.066666667,2.938079834,48.67676395
1.1,2.94342041,48.65702052
1.133333333,2.947235107,48.61934729
1.166666667,2.941894531,48.60500206
1.2,2.954673767,48.5924529
1.233333333,2.955055237,48.57453027
1.266666667,2.938461304,48.54586562
1.3,2.928161621,48.54049258
1.333333333,2.928733826,48.54049258
1.366666667,2.930259705,48.51363486
1.4,2.935218811,48.49931584
1.433333333,2.941894531,48.48142204
1.466666667,2.9504776,48.4545917
1.5,2.958679199,48.42598635
1.533333333,2.959632874,48.39739508
1.566666667,2.946281433,48.3956086
1.6,2.930259705,48.36703227
1.633333333,2.922439575,48.36167578
1.666666667,2.928733826,48.35096426
1.7,2.940559387,48.33490068
1.733333333,2.95009613,48.32776274
1.766666667,2.960014343,48.31170556
1.8,2.956199646,48.30813789
1.833333333,2.947998047,48.30278681
1.866666667,2.933692932,48.28138739
1.9,2.928733826,48.24752102
1.933333333,2.928733826,48.19230749
1.966666667,2.936935425,48.16916893
2,2.942276001,48.15849268
2.033333333,2.95124054,48.15671349
2.066666667,2.958869934,48.14959729
2.1,2.95715332,48.13358899
2.133333333,2.944374084,48.09447598
2.166666667,2.931213379,48.0376308
2.2,2.921295166,47.99148452
2.233333333,2.923774719,47.97197197
2.266666667,2.930259705,47.94714716
2.3,2.934837341,47.92056073
2.333333333,2.95009613,47.92056073
2.366666667,2.961349487,47.91701678
2.4,2.952575684,47.92056073
2.433333333,2.939414978,47.8798181
2.466666667,2.928352356,47.84441254
2.5,2.919960022,47.77543249
2.533333333,2.92339325,47.7400892
2.566666667,2.931594849,47.70653253
2.6,2.94380188,47.74892305
2.633333333,2.956390381,47.75952541
2.666666667,2.961349487,47.77012966
2.7,2.946281433,47.76305995
2.733333333,2.934837341,47.75245696
2.766666667,2.925872803,47.74892305
2.8,2.924537659,47.72595777
2.833333333,2.927780151,47.71006392
2.866666667,2.938461304,47.66064352
2.9,2.948570251,47.61126408
2.933333333,2.95715332,47.59011396
2.966666667,2.958679199,47.56897133
3,2.952575684,47.54607525
3.033333333,2.939414978,47.53903206
3.066666667,2.932739258,47.50558824
3.1,2.92339325,47.4791984
3.133333333,2.92301178,47.44578794
3.166666667,2.927017212,47.42118159
3.2,2.936935425,47.4106391
3.233333333,2.947998047,47.39307239
3.266666667,2.954673767,47.36322074
3.3,2.953910828,47.33338388
3.333333333,2.948379517,47.32812009
3.366666667,2.938079834,47.31583969
3.4,2.926635742,47.32110241
3.433333333,2.922439575,47.32110241
3.466666667,2.916717529,47.31583969
3.5,2.91633606,47.28602626
3.533333333,2.924919128,47.27375442
3.566666667,2.941513062,47.26674305
3.6,2.943992615,47.27024863
3.633333333,2.947998047,47.26674305
3.666666667,2.954292297,47.25272277
3.7,2.945709229,47.23695384
3.733333333,2.936553955,47.21243255
3.766666667,2.928352356,47.17916954
3.8,2.920532227,47.15642115
3.833333333,2.919578552,47.12843484
3.866666667,2.920913696,47.07424801
3.9,2.925300598,47.03058408
3.933333333,2.932739258,47.01138186
3.966666667,2.945899963,46.98346214
4,2.951812744,46.95555518
4.033333333,2.95124054,46.92417508
4.066666667,2.941131592,46.89803728
4.1,2.938079834,46.88758529
4.133333333,2.934837341,46.88758529
4.166666667,2.927017212,46.86320423
4.2,2.918815613,46.82317066
4.233333333,2.920532227,46.79707586
4.266666667,2.927017212,46.77273071
4.3,2.933502197,46.75187109
4.333333333,2.948760986,46.75013311
4.366666667,2.952194214,46.7553472
4.4,2.953338623,46.76925361
4.433333333,2.9504776,46.7553472
4.466666667,2.946853638,46.74318167
4.5,2.945709229,46.72059492
4.533333333,2.934837341,46.69454355
4.566666667,2.928161621,46.6719746
4.6,2.921295166,46.64594373
4.633333333,2.917861938,46.63379975
4.666666667,2.922439575,46.61125296
4.7,2.933692932,46.58524763
4.733333333,2.94342041,46.54885849
4.766666667,2.955436707,46.51941624
4.8,2.952957153,46.49518015
4.833333333,2.946853638,46.48652669
4.866666667,2.941513062,46.48998793
4.9,2.935600281,46.46922339
4.933333333,2.931022644,46.44500685
4.966666667,2.932739258,46.42598617
5,2.928733826,46.4156137
5.033333333,2.929878235,46.38969006
5.066666667,2.936935425,46.37068624
5.1,2.947998047,46.35514195
5.133333333,2.961349487,46.34650791
5.166666667,2.966117859,46.31888697
5.2,2.966690063,46.31716107
5.233333333,2.96421051,46.30335555
5.266666667,2.959060669,46.31370941
5.3,2.953338623,46.29645394
5.333333333,2.944755554,46.28092807
5.366666667,2.935218811,46.26195724
5.4,2.927780151,46.23092643
5.433333333,2.930259705,46.20335635
5.466666667,2.931022644,46.19129824
5.5,2.942276001,46.18268673
5.533333333,2.951812744,46.17579836
5.566666667,2.95715332,46.17407638
5.6,2.956390381,46.16374553
5.633333333,2.954292297,46.1465312
5.666666667,2.9504776,46.1465312
5.7,2.94380188,46.14136782
5.733333333,2.934837341,46.11555726
5.766666667,2.921676636,46.07772085
5.8,2.915382385,46.04849914
5.833333333,2.908325195,46.03475242
5.866666667,2.911758423,46.02959817
