#Latest: Time (min),#Latest: Potential (V),#Latest: Temperature (°C)
0,2.936935425,49.91261816
0.033333333,2.958297729,49.79713911
0.066666667,2.95124054,49.69103688
0.1,2.930641174,49.59425772
0.133333333,2.918243408,49.50675303
0.166666667,2.913475037,49.47033304
0.2,2.919960022,49.42120352
0.233333333,2.91595459,49.37938629
0.266666667,2.914619446,49.37575148
0.3,2.910804749,49.33760011
0.333333333,2.933120728,49.29765969
0.366666667,2.941513062,49.23417631
0.4,2.944755554,49.20699096
0.433333333,2.945137024,49.17438578
0.466666667,2.94303894,49.15627989
0.5,2.919197083,49.12551315
0.533333333,2.923774719,49.10380549
0.566666667,2.924537659,49.08572212
0.6,2.921676636,49.06583705
0.633333333,2.913284302,49.02970019
0.666666667,2.913856506,48.99539142
0.7,2.921676636,48.96832013
0.733333333,2.924156189,48.94667236
0.766666667,2.927398682,48.92322986
0.8,2.934455872,48.91241349
0.833333333,2.941513062,48.92683577
0.866666667,2.945899963,48.92683577
0.9,2.941131592,48.90880849
0.933333333,2.939033508,48.87817516
0.966666667,2.92339325,48.82595614
1,2.920913696,48.79176947
1.033333333,2.922439575,48.7719865
1.066666667,2.922821045,48.75041285
1.1,2.929496765,48.74322344
1.133333333,2.920722961,48.73962907
1.166666667,2.929496765,48.72345719
1.2,2.934837341,48.69830997
1.233333333,2.933120728,48.67676395
1.266666667,2.930641174,48.63907782
1.3,2.920722961,48.61217423
1.333333333,2.920913696,48.57990648
1.366666667,2.924919128,48.54407455
1.4,2.924156189,48.52258605
1.433333333,2.931594849,48.48142204
1.466666667,2.938270569,48.45995678
1.5,2.939414978,48.47426607
1.533333333,2.931594849,48.49036825
1.566666667,2.922439575,48.46711098
1.6,2.917480469,48.42062441
1.633333333,2.921295166,48.3956086
1.666666667,2.924919128,48.40096822
1.7,2.928352356,48.40990203
1.733333333,2.936553955,48.42419898
1.766666667,2.941131592,48.43313637
1.8,2.938079834,48.42598635
1.833333333,2.921295166,48.40454158
1.866666667,2.917861938,48.3884632
1.9,2.917861938,48.36524672
1.933333333,2.920913696,48.36703227
1.966666667,2.924919128,48.36524672
2,2.934074402,48.35096426
2.033333333,2.939033508,48.30813789
2.066666667,2.938270569,48.24573913
2.1,2.926635742,48.21723617
2.133333333,2.920913696,48.18340696
2.166666667,2.921295166,48.15671349
2.2,2.924156189,48.16560996
2.233333333,2.927017212,48.15849268
2.266666667,2.929878235,48.13003218
2.3,2.936553955,48.08736732
2.333333333,2.944755554,48.06782295
2.366666667,2.939414978,48.05361295
2.4,2.925872803,48.05361295
2.433333333,2.915763855,48.04473344
2.466666667,2.910423279,48.05361295
2.5,2.915000916,48.04118201
2.533333333,2.924156189,48.04118201
2.566666667,2.940559387,48.03230438
2.6,2.95009613,48.01455314
2.633333333,2.949714661,47.99503295
2.666666667,2.945899963,47.97906669
2.7,2.934074402,47.95069292
2.733333333,2.934837341,47.93296624
2.766666667,2.927780151,47.92056073
2.8,2.933692932,47.90284309
2.833333333,2.928161621,47.89221506
2.866666667,2.931976318,47.90284309
2.9,2.940750122,47.86211267
2.933333333,2.944755554,47.77543249
2.966666667,2.95009613,47.7400892
3,2.946090698,47.71712733
3.033333333,2.935218811,47.71359552
3.066666667,2.927780151,47.69947038
3.1,2.927970886,47.69770497
3.133333333,2.932739258,47.69417432
3.166666667,2.928733826,47.69064387
3.2,2.935600281,47.6835836
3.233333333,2.941513062,47.65535091
3.266666667,2.946472168,47.62536832
3.3,2.9504776,47.60245062
3.333333333,2.946090698,47.57601804
3.366666667,2.94303894,47.54607525
3.4,2.93598175,47.50734798
3.433333333,2.931213379,47.4791984
3.466666667,2.930641174,47.46864572
3.5,2.933692932,47.44930396
3.533333333,2.936935425,47.44227213
3.566666667,2.938079834,47.43524113
3.6,2.946472168,47.42118159
3.633333333,2.953529358,47.42118159
3.666666667,2.953910828,47.42118159
3.7,2.946281433,47.42118159
3.733333333,2.934455872,47.4106391
3.766666667,2.929878235,47.391316
3.8,2.931594849,47.37024333
3.833333333,2.934837341,47.35795434
3.866666667,2.938079834,47.34742292
3.9,2.940559387,47.33513858
3.933333333,2.944755554,47.32461115
3.966666667,2.95009613,47.30356178
4,2.949333191,47.28953295
4.033333333,2.948379517,47.26323768
4.066666667,2.938270569,47.24045769
4.1,2.934074402,47.2054283
4.133333333,2.924537659,47.18617076
4.166666667,2.924537659,47.16167002
4.2,2.931594849,47.14242638
4.233333333,2.93598175,47.11444651
4.266666667,2.938270569,47.0987135
4.3,2.948379517,47.07075374
4.333333333,2.95009613,47.07424801
4.366666667,2.95009613,47.05852539
4.4,2.946853638,47.04106057
4.433333333,2.94303894,47.03058408
4.466666667,2.931022644,47.03407604
4.5,2.925300598,47.01312726
4.533333333,2.925872803,47.00091047
4.566666667,2.932357788,46.97125128
4.6,2.931976318,46.93637654
4.633333333,2.932739258,46.88061828
4.666666667,2.939033508,46.81621096
4.7,2.942657471,46.78838006
4.733333333,2.947616577,46.75187109
4.766666667,2.947616577,46.7553472
4.8,2.941131592,46.72406926
4.833333333,2.929496765,46.69801643
4.866666667,2.924156189,46.66850318
4.9,2.924919128,46.63553446
4.933333333,2.927970886,46.59218131
4.966666667,2.931022644,46.56618399
5,2.933120728,46.5523232
5.033333333,2.938652039,46.54366178
5.066666667,2.953338623,46.55059082
5.1,2.956199646,46.56964967
5.133333333,2.95009613,46.58871437
5.166666667,2.941131592,46.60431713
5.2,2.933120728,46.60605102
5.233333333,2.926635742,46.59911578
5.266666667,2.925300598,46.59218131
5.3,2.924919128,46.57311554
5.333333333,2.926635742,46.5523232
5.366666667,2.927398682,46.53326967
5.4,2.927780151,46.50556589
5.433333333,2.927970886,46.48998793
5.466666667,2.952957153,46.47614414
5.5,2.960014343,46.46057355
5.533333333,2.949714661,46.43463121
5.566666667,2.9504776,46.42252849
5.6,2.945137024,46.38623439
5.633333333,2.937698364,46.35514195
5.666666667,2.930259705,46.31025793
5.7,2.929115295,46.28092807
5.733333333,2.930641174,46.25678438
5.766666667,2.931976318,46.24299215
5.8,2.934455872,46.23609717
5.833333333,2.939414978,46.21713988
5.866666667,2.943992615,46.19818831
5.9,2.95085907,46.14997369
5.933333333,2.952575684,46.12760087
5.966666667,2.951049805,46.10523599
6,2.944755554,46.10867622
6.033333333,2.938079834,46.12071853
6.066666667,2.927970886,46.12071853
6.1,2.924537659,46.12415961
6.133333333,2.924156189,46.11555726
6.166666667,2.927398682,46.12071853
6.2,2.928733826,46.10523599
6.233333333,2.933502197,46.07084394
