#Latest: Time (min),#Latest: Potential (V),#Latest: Temperature (°C)
0,2.907943726,49.78249228
0.033333333,2.978515625,49.59425772
0.066666667,3.063583374,49.43939463
0.1,2.988433838,49.29403014
0.133333333,2.924919128,49.18706334
0.166666667,2.910804749,49.08572212
0.2,3.017044067,49.04595894
0.233333333,3.087043762,48.9990019
0.266666667,2.994346619,48.95569127
0.3,2.908706665,48.93044191
0.333333333,2.984809875,48.90520372
0.366666667,3.084754944,48.87637371
0.4,3.004074097,48.84395732
0.433333333,2.90927887,48.80616137
0.466666667,2.985572815,48.75940089
0.5,3.074645996,48.71627115
0.533333333,2.979469299,48.68933148
0.566666667,2.890777588,48.66419917
0.6,2.9504776,48.6336961
0.633333333,3.039550781,48.57453027
0.666666667,2.944755554,48.51005477
0.7,2.89440155,48.46711098
0.733333333,2.992248535,48.41705007
0.766666667,3.073883057,48.35810505
0.8,2.969932556,48.30457045
0.833333333,2.924537659,48.24752102
0.866666667,3.035926819,48.21723617
0.9,3.048324585,48.22257942
0.933333333,2.933692932,48.2421755
0.966666667,2.943992615,48.25108498
1,3.044319153,48.25821354
1.033333333,3.033828735,48.25108498
1.066666667,2.928352356,48.24573913
1.1,2.941894531,48.24573913
1.133333333,3.046226501,48.22614185
1.166666667,3.02028656,48.17272811
1.2,2.918434143,48.11402922
1.233333333,2.946472168,48.04118201
1.266666667,3.051185608,48.00922881
1.3,2.999687195,48.00922881
1.333333333,2.91633606,48.00922881
1.366666667,2.960395813,48.01455314
1.4,3.060340881,48.00567952
1.433333333,3.004646301,47.98084051
1.466666667,2.926635742,47.95069292
1.5,2.924537659,47.89575752
1.533333333,3.010368347,47.85503198
1.566666667,3.000068665,47.81433444
1.6,2.923774719,47.81433444
1.633333333,2.923774719,47.81433444
1.666666667,3.018760681,47.83733396
1.7,3.028869629,47.84087314
1.733333333,2.926635742,47.84795214
1.766666667,2.906417847,47.83379499
1.8,2.986907959,47.80372229
1.833333333,3.03478241,47.78603959
1.866666667,2.998352051,47.77012966
1.9,2.915000916,47.72595777
1.933333333,2.92339325,47.69947038
1.966666667,3.010368347,47.67828895
2,3.007125854,47.68181867
2.033333333,2.92301178,47.68711363
2.066666667,2.91595459,47.69947038
2.1,3.010368347,47.7153614
2.133333333,3.002929688,47.71006392
2.166666667,2.934455872,47.72242543
2.2,2.909660339,47.72595777
2.233333333,2.961730957,47.69064387
2.266666667,3.026390076,47.6447671
2.3,2.989006042,47.5989256
2.333333333,2.90927887,47.59363846
2.366666667,2.916145325,47.57954171
2.4,2.999687195,47.56368684
2.433333333,3.025245667,47.51790747
2.466666667,2.969551086,47.46512857
2.5,2.906799316,47.42293886
2.533333333,2.932739258,47.4106391
2.566666667,3.012084961,47.42293886
2.6,3.018569946,47.43875653
2.633333333,2.963256836,47.42645353
2.666666667,2.908706665,47.39658532
2.7,2.926635742,47.37375493
2.733333333,2.993774414,47.36146522
2.766666667,3.024101257,47.33338388
2.8,2.987289429,47.28953295
2.833333333,2.914237976,47.27024863
2.866666667,2.90222168,47.247466
2.9,2.95715332,47.22118902
2.933333333,3.007125854,47.18617076
2.966666667,3.011512756,47.15642115
3,2.962875366,47.12843484
3.033333333,2.911758423,47.10395738
3.066666667,2.909660339,47.07774248
